id,fax_id,date,date2,container,shipper,consignee,port,country,weight,commodity,com_qty,com_unit,ship,voyage,carrier,shipments,container_total,shipments_vrac,weight_total,lat,lon
5127-1-431CANKAYMARLES578CAR-1,5127,3/12/2018,3/1/2018,1,CANDID LIMITED,KAY DUPUY SA,NINGBO,China,10713,MARCHANDISE GENERALE,578,CARTON,FALMOUTH,49E,ZIM LINES,1,1,0,10713,29.878185,121.54945
5137-1-431FERGAELEVRES225CAI-1,5137,3/12/2018,3/1/2018,1,FERMENTACIONES MEXICANAS,GAET JIMEX,VERACRUZ,Mexico,17253,LEVURES,2250,CAISSES,FALMOUTH,49E,ZIM LINES,1,1,0,17253,14.916667,-88.78333
5147-2-432JAMTC MATION117CAR-1,5147,3/12/2018,3/1/2018,2,JAMES AND BOND LIMITED,TC CONSTRUCTION,DALIAN,China,51038,MATERIAUX DE CONSTRUCTION,117,CARTON,FALMOUTH,49E,ZIM LINES,1,2,0,51038,38.912224,121.60222
5157-2-432MUECOLRESQUE144SAC-1,5157,3/12/2018,3/1/2018,2,MUEHLSTEIN,COLPLAS SA,HOUSTON - TX,USA,36200,RESINE SYNTHETIQUE,1440,"SACS, SACHETS",FALMOUTH,49E,ZIM LINES,1,2,0,36200,29.763056,-95.36305
5167-1-431SENISHLEGRVE256CAR-1,5167,3/12/2018,3/1/2018,1,SENECA FOODS CORPORATION,ISHA FOODS CO,NORFOLK - VA,USA,18579,"LEGUMES, FRUITS ET PARTIES COMESTIBLES DE PLANTE EN CONSERVE",2560,CARTON,FALMOUTH,49E,ZIM LINES,1,1,0,18579,42.119446,-71.325554
5176-1-431SINPRIMATION35CAR-1,5176,3/12/2018,3/1/2018,1,SINOCOLOR CO LTD,PRINTMASTER,SHANGHAI,China,2150,"MATERIELS, FOURNITURES D'IMPRESSION",35,CARTON,FALMOUTH,49E,ZIM LINES,1,1,0,2150,31.045555,121.39972
5186-2-432YEEVALMEU..)775CAR-1,5186,3/12/2018,3/1/2018,2,YEE GUAN FURNITURE MANUFACTURE SDN.BH,VALERIO CANEZ SA,TANJUNG PELEPAS,Malaysia,13284,"MEUBLES ET LEURS PARTIES (MOBILIER DE BUREAU,CHAMBRE...)",775,CARTON,FALMOUTH,49E,ZIM LINES,1,2,0,13284,1.359806894,103.5423512
5195-4-434ZHEGADMALENT685CAR-2,5195,3/12/2018,3/1/2018,4,ZHEJIANG OSEE IMPORT & EXPORT,GADY DEPOT,NINGBO,China,42950,"MALLE, MALETTE ET AUTRES ARTICLES POUR TRANSPORT DE VETEMENT",685,CARTON,FALMOUTH,49E,ZIM LINES,0,1,0,14317,29.878185,121.54945
5201-11-4311AROPARVOIION13UNI-1,5201,3/12/2018,3/1/2018,11,AROMARK SHIPPING LLC,PARTICULIER,PORT NEWARK ELIZABETH - NJ,USA,153156,VOITURE D'OCCASION,13,UNITES,HANSA FREYBURG,57BIS,SEABOARD MARINE,0,3,0,38289,40.68155,-74.1505
5210-1-431EMPSODBISITS326CAR-1,5210,3/12/2018,3/1/2018,1,EMPRESAS CAROZZI SA,SODIPAL SA,MANZANILLO - PA,Panama,22710,BISCUITS,3260,CARTON,HANSA FREYBURG,57BIS,SEABOARD MARINE,1,1,0,22710,9.364915,-79.88098
5219-4-434LUBDISHUIEUR688CAR-1,5219,3/12/2018,3/1/2018,4,LUBRICANTES DOMINICANOS SA,DISTRIBUTION PARTS & CO SA,RIO HAINA,Dominican Republic,96055,"HUILES LUBRIFIANTES, DE PETROLE POUR MOTEUR",6880,CARTON,HANSA FREYBURG,57BIS,SEABOARD MARINE,1,4,0,96055,18.417,-70.017
5226-1-431WORMELARTRIE550BAL-1,5226,3/12/2018,3/1/2018,1,WORLDWIDE CLOTHING SA,MELA SERVICES,RIO HAINA,Dominican Republic,24948,ARTICLE DE FRIPERIE,550,BALLES,HANSA FREYBURG,57BIS,SEABOARD MARINE,1,1,0,24948,18.417,-70.017
5236-1-431C.HPARENGALE10PAL-1,5236,3/13/2018,3/1/2018,1,CH ROBINSON WORLDWIDE GMBH,PARTICULIER,MIAMI - FL,USA,7260,ENGRAIS D'ORIGINE ANIMALE OU VEGETALE,10,PALETTES,SANDWIG,179R,CMA/CGM,1,1,0,7260,25.77389,-80.193886
5244-1-431COMVALVITINE22CAR-1,5244,3/13/2018,3/1/2018,1,COMPAGNIE FRANCAISE D'ETUDES ET D'ENTREPRISE,VALERIO CANEZ SA,YANGZHOU,China,2456,VITRINE,22,CARTON,SANDWIG,179R,CMA/CGM,1,1,0,2456,32.39722,119.43584
5254-7-437HAZHAZPARION109PAL-1,5254,3/13/2018,3/1/2018,7,HAZAMA ANDO CORPORATION,HAZAMA ANDO CORPORATION,YOKOHAMA,Japan,48370,"PARTIES, ACCESSOIRE VOITURE, TRACTEUR BUS DEPANEUSE CAMION",109,PALETTES,SANDWIG,179R,CMA/CGM,1,7,0,48370,35.74222,136.1
5262-1-431JESSOCVIAEES248CAR-1,5262,3/13/2018,3/1/2018,1,JESTIN SAS ZI DE KERIVEN,SOCIETE DE DISTRIBUTION GENERALE SA,BARCELONA,Spain,26500,VIANDES DE PORC FRAICHES OU REFRIGEREES OU CONGELEES,2486,CARTON,SANDWIG,179R,CMA/CGM,1,1,0,26500,41.398373,2.1741
5271-1-431MOIEPIGRAALE115CAR-1,5271,3/13/2018,3/1/2018,1,MOI FOODS MALAYSIA SDN BHD OB,EPID'OR,LE HAVRE,France,23823,GRAISSE VEGETALE,1152,CARTON,SANDWIG,179R,CMA/CGM,1,1,0,23823,49.5,0.133333
5280-3-433RAVDISBISITS513CAR-1,5280,3/13/2018,3/1/2018,3,RAVI FOOD PVT LTD,DISPRODAL SA,NHAVA SHEVA,India,56210,BISCUITS,5138,CARTON,SANDWIG,179R,CMA/CGM,1,3,0,56210,18.975,72.825836
5288-1-431SILAIRVOISUV1UNI-1,5288,3/13/2018,3/1/2018,1,SILVER FREIGHT LOGISTIC SRL,AIR COURRIER & SHIPPING,BUENOS AIRES,Argentina,2403,VOITURES SUV,1,UNITES,SANDWIG,179R,CMA/CGM,1,1,0,2403,-34.603722,-58.381592
5296-3-433DSVCARMATRES41PIE-3,5296,3/14/2018,3/1/2018,3,DSV AIR & SEA NEDERLAND,CARIMPEX,ANTWERP,Belgium,42144,MATERIELS ELECTRIQUES ET ACCESSOIRE,41,PIECES,CONTSHIP RAY,039N,MAERSK LINE,0,1,0,10536,51.216667,4.416667
5304-2-432JESSOGVIAFRI540CAR-1,5304,3/14/2018,3/1/2018,2,JESTIN SAS ZI DE KERIVEN,SOGEDIPA SA,ROTTERDAM,Netherlands,58300,"VIANDES ET ABATS DE VOLAILLES (POULES, COQS DINDES) REFRI",5400,CARTON,CONTSHIP RAY,039N,MAERSK LINE,1,2,0,58300,51.916668,4.5
5313-1-431NINMARPARION165CAR-1,5313,3/14/2018,3/1/2018,1,NINGGUO FEIYING AUTO SPARE PARTS,MARC ANDRE DERIPHONSE,WUHU,China,26660,"PARTIES, ACCESSOIRE VOITURE, TRACTEUR BUS DEPANEUSE CAMION",1656,CARTON,CONTSHIP RAY,039N,MAERSK LINE,1,1,0,26660,31.14607,118.57069
5322-6-436SLORALOIGONS896SAC-1,5322,3/14/2018,3/1/2018,6,SLOT FRANS & CO BV,RALPH IMP EXP,ROTTERDAM,Netherlands,87168,OIGNONS,8960,"SACS, SACHETS",CONTSHIP RAY,039N,MAERSK LINE,1,6,0,87168,51.916668,4.5
5332-1-431Y ADENBATIES140CAR-1,5332,3/14/2018,3/1/2018,1,Y AND Y (HOLDINGS) COMPANY LTD,DENALI TRADING,NINGBO,China,26640,BATTERIES,1402,CARTON,CONTSHIP RAY,039N,MAERSK LINE,1,1,0,26640,29.878185,121.54945
5342-1-431MAPCIMADDALT1TAN-1,5342,3/14/2018,3/1/2018,1,MAPEI CONSTRUCTION CHEMICALS,CIMENTERIE NATIONAL SEM,MANZANILLO - PA,Panama,23190,ADDITIFS POUR CIMENT ET ASPHALT,1,"TANKS, RESERVOIRS",CONTSHIP RAY,039N,SEALAND,1,1,0,23190,9.364915,-79.88098
5351-5-435ALLALLMATION282PAL-1,5351,3/14/2018,3/1/2018,5,ALL STEEL BUILDING MATERIALS INTERNATIONAL INC,ALLIANCE DISTRIBUTION SA,PORT EVERGLADES - FL,USA,115810,MATERIAUX DE CONSTRUCTION,28220,PALETTES,DELPHINUS,18S,KING OCEAN SERVICES,1,5,0,115810,26.096666,-80.1275
5360-1-431SWECAREDUANT1PAL-1,5360,3/14/2018,3/1/2018,1,SWEETENER SOLUTIONS LLC,CARIBBEAN BOTTLING COMPANY SA,COLUMBIA - SC,USA,654,EDULCORANT,1,PALETTES,DELPHINUS,18S,KING OCEAN SERVICES,1,1,0,654,34.000557,-81.035
5370-1-431GLOUNIAPPION20PAL-1,5370,3/14/2018,3/1/2018,1,GLOBE EXPRESS LOGISTICS CO LTD,UNITED SHIPPING LOGISTICS USL,HONG KONG,China,12035,APPAREIL DE  TELECOMMUNICATION,20,PALETTES,VEGA ZETA,761E,COSCO SHIPPING,1,1,0,12035,22.283333,114.15
5379-1-431AIRTELMARLES470CAR-1,5379,3/14/2018,3/1/2018,1,AIR ET MER HAITI CARGO,TELO DEPOT,MANZANILLO - PA,Panama,10000,MARCHANDISE GENERALE,470,CARTON,VEGA ZETA,761N,"CROWLEY LINER SERVICES,INC",1,1,0,10000,9.364915,-79.88098
5389-10-4310COMHUISUCRES108SAC-1,5389,3/14/2018,3/1/2018,10,COMPANIA AZUCARERA SALVADORENA SA DE C.V,HUILERIES HAITIENNES SA,PUERTO CORTES,Honduras,270734,SUCRES,10800,"SACS, SACHETS",VEGA ZETA,761ESUD,HAMBURG SUD NORTH AMERICA INC.,1,10,0,270734,11.5301,122.3975
5399-1-431WINHAITISILE240ROU-1,5399,3/14/2018,3/1/2018,1,WINNITEX LTD,HAITI PREMIER APPAREL SA,HONG KONG,China,16295,TISSUS ET ETOFFES POUR INDUSTRIE TEXTILE,240,"ROULEAUX, BOBINE",VEGA ZETA,761,HAPAG-LLOYD,1,1,0,16295,22.283333,114.15
5409-1-431AMAJAMHUIEUR178PAQ-1,5409,3/16/2018,3/1/2018,1,AMALIE OIL CO,JAMAGI SA,MIAMI - FL,USA,22287,"HUILES LUBRIFIANTES, DE PETROLE POUR MOTEUR",1786,"PAQUET, COLIS",PEPIN EXPRESS,116S,ANTILLEAN MARINE SHIPPING  CORP,1,1,0,22287,25.77389,-80.193886
5417-5-435DELGROARTETE206CAR-3,5417,3/16/2018,3/1/2018,5,DEL VALLE BRANDS,GROUP SEHSA,MIAMI - FL,USA,98934,"ARTICLE DE MENAGE, D'HYGIENE, DE PROPRETE",2064,CARTON,PEPIN EXPRESS,116S,ANTILLEAN MARINE SHIPPING  CORP,0,2,0,32978,25.77389,-80.193886
