id,fax_id,date,container,shipper,consignee,port,country2,weight,commodity,com_qty,com_unit,ship,voyage,carrier,shipments,container_total,shipments_vrac,weight_total,lat,lon
66577-1-441ADVPARPNEUFS20PIE-1,66577,6/21/2020,1,ADVANCE TIRE WHOLESALE,PARTICULIER,MIAMI - FL,USA,1052.34,PNEUMATIQUES NEUFS,20,PIECES,AS SAMANTA,14S,SEABOARD MARINE,1,1,0,1052.34,25.77389,-80.193886
66663-0-440BUNHUIHUIOJA699KG-1,66663,6/21/2020,0,BUNGE LATIN AMERICA,HUILERIES HAITIENNES SA,BUENOS AIRES,ARGENTINA,699885,HUILE DE SOJA,699885,KG,CHEM WOLVERINE,V.2001,PDVSA RVAM,1,0,1,699885,-34.603722,-58.381592
66752-0-440DALAUTPNEUFS6PAL-1,66752,6/22/2020,0,DALIAN FORKLIFT CO LTD,AUTOMECA,DALIAN,CHINA,2468,PNEUMATIQUES NEUFS,6,PALETTES,YERUPAJA,20025H,HAPAG-LLOYD,1,0,1,2468,38.912224,121.60222
66848-1-441SHESOSVENION162CAR-1,66848,6/23/2020,1,SHENZHEN GRANDWAY LOGISTICS,SOS IMPORT-EXPORT,NANSHA,CHINA,19974.07,"VENTILATEUR, APPAREIL DE VENTILATION",1625,CARTON,ARKADIA,132N,EVERGREEN,1,1,0,19974.07,22.635563,113.676872
66947-0-440CARSAUPAREUR35CAR-1,66947,6/23/2020,0,CARRIER INTERAMERICA CORP,SAUREL AIR CONDITIONING CO SA,MIAMI - FL,USA,1513.19,PARTIE ET ACCESSOIRE POUR CLIMATISEUR,35,CARTON,DELPHINUS,136S,KING OCEAN SERVICES,1,0,1,1513.19,25.77389,-80.193886
67038-2-442COMVALFOUGER132CAR-1,67038,6/25/2020,2,COMPAGNIE FRANCAISE D'ETUDES ET D'ENTREPRISE,VALERIO CANEZ SA,CHIWAN,CHINA,12489,FOUR MENAGER,1328,CARTON,CFS PAFILIA,0RU2SR1,CMA/CGM,1,2,0,12489,22.482086,113.885025
67125-1-441POLHAIVIAFRI280CAR-1,67125,6/26/2020,1,POLLPAR SA,HAITI FOOD SUPPLY SA,ASUNCION,PARAGUAY,28920,"VIANDES ET ABATS DE VOLAILLES (POULES, COQS DINDES) REFRI",2800,CARTON,NEWYORKER,PD025A,MEDITERRANEAN SHIPPING CO,1,1,0,28920,-25.266666,-57.666668
67214-1-441COCBRAEXTRES842CAR-1,67214,6/29/2020,1,COCA COLA INDUSTRIAS,BRASSERIE DE LA COURONNE SA,PUERTO MOIN,COSTA RICA,11142.12,"EXTRAITS, ESSENCES ET CONCENTRES",842,CARTON,AS SAMANTA,14N,SEABOARD MARINE,1,1,0,11142.12,9.99074,-83.03596
67311-1-441AMEASSRIZRIZ255SAC-1,67311,7/1/2020,1,AMERICAN ROLAND FOOD CORP.,ASSOCIATED FOOD DISTRIBUTORS SA,PORT NEWARK ELIZABETH - NJ,USA,20367.97,RIZ,2550,"SACS, SACHETS",ACRUX N,133N,EVERGREEN,1,1,0,20367.97,40.68155,-74.1505
67400-1-441HAYCRIPAPQUE116CAR-1,67400,7/1/2020,1,HAYAT KIMYA SANAYI AS,CRISTO SA,IZMIR,TURKEY,4772.6,PAPIER HYGIENIQUE,1160,CARTON,ACRUX N,133N,MAERSK LINE,1,1,0,4772.6,38.412727,27.138376
67492-5-445NAVSAMAIDSES240CAR-1,67492,7/2/2020,5,NAVIGATION NETWORK INC,SAMARITANS PURSE,PORT ALABAMA - AL,USA,52097.35,AIDES HUMANITAIRES DIVERSES,2400,CARTON,CFS PAFILIA,0RU2TR1,CMA/CGM,1,5,0,52097.35,30.694166,-88.04305
67582-2-442TOKLA RECMOS676CAR-1,67582,7/3/2020,2,TOKYO PLAST INTERNATIONAL LTD,LA MENAGERE SA,NHAVA SHEVA,INDIA,14993.68,"RECIPIENTS ISOTHERMES, THERMOS",676,CARTON,POMERENIA SKY,PD026A,MEDITERRANEAN SHIPPING CO,1,2,0,14993.68,18.975,72.825836
67670-2-442TECLA CIMRES212PAL-1,67670,7/6/2020,2,TECNOCRETO SOCIEDAD ANONIMA,LA MENAGERE SA,SANTO THOMAS,GUATEMALA,42000,"CIMENTS PULVERISES OU NON,PORTLAND,ALUMINEUX ET AUTRES",2125,PALETTES,AS SAVANNA,14N,SEABOARD MARINE,1,2,0,42000,15.68666392,-88.60749757
67765-1-441NINPHIMARLES524CAR-1,67765,7/6/2020,1,NINGBO DEALER WELL CO LTD,PHILIPPE SHOP,NINGBO,CHINA,14050,MARCHANDISE GENERALE,524,CARTON,ASIAN TRADER,20027SA,ZIM LINES,1,1,0,14050,29.878185,121.54945
